date               ,open  ,high  ,low   ,close
2018-04-23 14:00:00,70.48 ,70.78 ,70.48 ,70.77
2018-04-23 15:00:00,70.77 ,70.79 ,70.555,70.645
2018-04-23 16:00:00,70.645,70.895,70.645,70.84
2018-04-23 17:00:00,70.85 ,70.86 ,70.83 ,70.85
2018-04-23 18:00:00,70.85 ,71.04 ,70.8  ,71.0
2018-04-23 19:00:00,71.0  ,71.15 ,71.0  ,71.11
2018-04-23 20:00:00,71.11 ,71.11 ,71.11 ,71.11
2018-04-24 14:00:00,71.49 ,71.65 ,71.47 ,71.6
2018-04-24 15:00:00,71.555,71.69 ,71.42 ,71.545
2018-04-24 16:00:00,71.545,71.575,71.43 ,71.45
2018-04-24 17:00:00,71.46 ,71.46 ,71.03 ,71.03
2018-04-24 18:00:00,71.03 ,71.15 ,70.95 ,71.09
2018-04-24 19:00:00,71.09 ,71.135,70.84 ,71.07
2018-04-24 20:00:00,71.07 ,71.07 ,71.07 ,71.07
2018-04-25 14:00:00,70.43 ,70.72 ,70.43 ,70.62
2018-04-25 15:00:00,70.63 ,70.945,70.57 ,70.905
2018-04-25 16:00:00,70.89 ,70.89 ,70.855,70.855
2018-04-25 17:00:00,70.855,70.95 ,70.855,70.95
2018-04-25 18:00:00,70.95 ,71.255,70.95 ,71.255
2018-04-25 19:00:00,71.275,71.275,71.045,71.14
2018-04-25 20:00:00,71.14 ,71.14 ,71.14 ,71.14
2018-04-26 14:00:00,69.87 ,70.14 ,69.69 ,70.11
2018-04-26 15:00:00,70.11 ,70.19 ,69.955,70.185
2018-04-26 16:00:00,70.185,70.44 ,70.165,70.415
2018-04-26 17:00:00,70.415,70.455,70.26 ,70.27
2018-04-26 18:00:00,70.27 ,70.37 ,70.265,70.35
2018-04-26 19:00:00,70.35 ,70.395,70.19 ,70.32
2018-04-26 20:00:00,70.32 ,70.32 ,70.32 ,70.32
2018-04-27 14:00:00,69.79 ,69.86 ,69.545,69.835
2018-04-27 15:00:00,69.83 ,70.115,69.83 ,70.115
2018-04-27 16:00:00,70.115,70.115,69.99 ,70.055
2018-04-27 17:00:00,70.055,70.055,69.86 ,69.89
2018-04-27 18:00:00,69.89 ,69.905,69.85 ,69.88
2018-04-27 19:00:00,69.88 ,69.885,69.75 ,69.75
2018-04-27 20:00:00,69.75 ,69.75 ,69.75 ,69.75
2018-04-30 14:00:00,69.625,69.98 ,69.625,69.98
2018-04-30 15:00:00,69.97 ,70.035,69.895,69.895
2018-04-30 16:00:00,69.905,69.945,69.84 ,69.88
2018-04-30 17:00:00,69.91 ,70.27 ,69.91 ,70.205
2018-04-30 18:00:00,70.25 ,70.25 ,70.03 ,70.03
2018-04-30 19:00:00,70.03 ,70.08 ,69.92 ,69.915
2018-04-30 20:00:00,69.915,69.915,69.915,69.915
2018-05-01 14:00:00,69.375,69.375,68.8  ,68.845
2018-05-01 15:00:00,68.845,69.055,68.79 ,69.035
2018-05-01 16:00:00,68.955,68.995,68.955,68.97
2018-05-01 17:00:00,68.95 ,68.95 ,68.78 ,68.885
2018-05-01 18:00:00,68.875,69.055,68.855,69.02
2018-05-01 19:00:00,69.02 ,69.075,68.94 ,69.05
2018-05-01 20:00:00,69.05 ,69.05 ,69.05 ,69.05
2018-05-02 14:00:00,69.28 ,69.53 ,69.14 ,69.19
2018-05-02 15:00:00,69.18 ,69.465,69.095,69.095
