,close,date,high,low,open
0,37.42,2018-12-27 14:30:00,37.42,37.36,37.36
1,37.46,2018-12-27 14:31:00,37.46,37.42,37.42
2,37.44,2018-12-27 14:32:00,37.49,37.42,37.46
3,37.42,2018-12-27 14:33:00,37.45,37.36,37.44
4,37.46,2018-12-27 14:34:00,37.46,37.4,37.42
5,37.4,2018-12-27 14:35:00,37.46,37.4,37.44
6,37.42,2018-12-27 14:36:00,37.44,37.36,37.42
7,37.44,2018-12-27 14:37:00,37.445,37.385,37.4
8,37.44,2018-12-27 14:38:00,37.48,37.435,37.44
9,37.4,2018-12-27 14:39:00,37.46,37.4,37.445
10,37.42,2018-12-27 14:40:00,37.48,37.4,37.4
11,37.44,2018-12-27 14:41:00,37.48,37.42,37.42
12,37.48,2018-12-27 14:42:00,37.495,37.42,37.44
13,37.42,2018-12-27 14:43:00,37.48,37.42,37.48
14,37.4,2018-12-27 14:44:00,37.44,37.4,37.44
15,37.42,2018-12-27 14:45:00,37.445,37.395,37.4
16,37.42,2018-12-27 14:46:00,37.44,37.38,37.42
17,37.33,2018-12-27 14:47:00,37.41,37.33,37.41
18,37.255,2018-12-27 14:48:00,37.325,37.255,37.315
19,37.24,2018-12-27 14:49:00,37.28,37.235,37.265
20,37.215,2018-12-27 14:50:00,37.245,37.205,37.235
21,37.28,2018-12-27 14:51:00,37.3,37.215,37.215
22,37.2,2018-12-27 14:52:00,37.285,37.2,37.28
23,37.23,2018-12-27 14:53:00,37.24,37.175,37.21
24,37.23,2018-12-27 14:54:00,37.27,37.225,37.24
25,37.225,2018-12-27 14:55:00,37.26,37.2,37.225
26,37.27,2018-12-27 14:56:00,37.285,37.225,37.23
27,37.3,2018-12-27 14:57:00,37.315,37.27,37.275
28,37.305,2018-12-27 14:58:00,37.305,37.265,37.3
29,37.315,2018-12-27 14:59:00,37.36,37.28,37.305
30,37.295,2018-12-27 15:00:00,37.33,37.275,37.325
31,37.35,2018-12-27 15:01:00,37.36,37.28,37.295
32,37.38,2018-12-27 15:02:00,37.38,37.315,37.36
33,37.35,2018-12-27 15:03:00,37.405,37.35,37.385
34,37.35,2018-12-27 15:04:00,37.35,37.35,37.35
35,37.35,2018-12-27 15:05:00,37.35,37.35,37.35
36,37.35,2018-12-27 15:06:00,37.35,37.35,37.35
37,37.35,2018-12-27 15:07:00,37.35,37.35,37.35
