,close,date,high,low,open
0,60.385,2018-12-07 14:30:00,60.39,60.26,60.28
1,60.295,2018-12-07 14:31:00,60.4,60.295,60.39
2,60.28,2018-12-07 14:32:00,60.28,60.17,60.245
3,60.175,2018-12-07 14:33:00,60.18,60.17,60.18
4,60.26,2018-12-07 14:34:00,60.26,60.255,60.26
5,60.31,2018-12-07 14:35:00,60.36,60.27,60.36
6,60.31,2018-12-07 14:36:00,60.36,60.285,60.305
7,60.38,2018-12-07 14:37:00,60.385,60.315,60.315
8,60.39,2018-12-07 14:38:00,60.42,60.39,60.41
9,60.48,2018-12-07 14:39:00,60.48,60.38,60.395
10,60.55,2018-12-07 14:40:00,60.55,60.46,60.46
11,60.575,2018-12-07 14:41:00,60.59,60.56,60.56
12,60.62,2018-12-07 14:42:00,60.66,60.6,60.6
13,60.63,2018-12-07 14:43:00,60.69,60.63,60.675
14,60.6,2018-12-07 14:44:00,60.66,60.58,60.66
15,60.63,2018-12-07 14:45:00,60.64,60.56,60.64
16,60.77,2018-12-07 14:46:00,60.785,60.64,60.64
17,60.74,2018-12-07 14:47:00,60.74,60.7,60.73
18,60.7,2018-12-07 14:48:00,60.74,60.69,60.725
19,60.565,2018-12-07 14:49:00,60.67,60.56,60.67
20,60.49,2018-12-07 14:50:00,60.57,60.475,60.56
21,60.58,2018-12-07 14:51:00,60.58,60.47,60.49
22,60.505,2018-12-07 14:52:00,60.58,60.49,60.58
23,60.47,2018-12-07 14:53:00,60.51,60.46,60.51
24,60.45,2018-12-07 14:54:00,60.47,60.45,60.47
25,60.505,2018-12-07 14:55:00,60.505,60.455,60.455
26,60.505,2018-12-07 14:56:00,60.505,60.505,60.505
27,60.505,2018-12-07 14:57:00,60.505,60.505,60.505
28,60.305,2018-12-07 14:58:00,60.305,60.305,60.305
29,60.33,2018-12-07 14:59:00,60.33,60.33,60.33
30,60.305,2018-12-07 15:00:00,60.305,60.305,60.305
31,60.31,2018-12-07 15:01:00,60.31,60.305,60.305
32,60.4,2018-12-07 15:02:00,60.4,60.385,60.385
33,60.45,2018-12-07 15:03:00,60.46,60.435,60.445
34,60.46,2018-12-07 15:04:00,60.46,60.44,60.44
35,60.475,2018-12-07 15:05:00,60.475,60.465,60.475
36,60.43,2018-12-07 15:06:00,60.43,60.43,60.43
37,60.45,2018-12-07 15:07:00,60.45,60.45,60.45
38,60.43,2018-12-07 15:08:00,60.45,60.43,60.45
39,60.415,2018-12-07 15:09:00,60.415,60.415,60.415
40,60.4,2018-12-07 15:10:00,60.405,60.38,60.4
41,60.39,2018-12-07 15:11:00,60.39,60.39,60.39
42,60.39,2018-12-07 15:12:00,60.39,60.39,60.39
43,60.44,2018-12-07 15:13:00,60.49,60.44,60.49
44,60.4,2018-12-07 15:14:00,60.42,60.4,60.41
45,60.36,2018-12-07 15:15:00,60.375,60.36,60.375
46,60.215,2018-12-07 15:16:00,60.34,60.215,60.34
47,60.155,2018-12-07 15:17:00,60.2,60.155,60.2
48,60.14,2018-12-07 15:18:00,60.175,60.14,60.15
49,60.09,2018-12-07 15:19:00,60.15,60.08,60.14
50,60.13,2018-12-07 15:20:00,60.14,60.075,60.075
51,60.11,2018-12-07 15:21:00,60.15,60.11,60.13
